case_id,elapsed_hours_so_far,wait_before_reviewed_hours,resource_at_reviewed,hour_of_day_submitted,has_been_reworked_yet,events_seen_so_far,unique_activities_so_far,transition_count_so_far,activity_repetition_count,total_wait_hours_so_far,average_wait_hours_so_far,max_wait_hours_so_far,min_wait_hours_so_far,number_of_long_waits_so_far,time_since_previous_activity,hour_of_day_at_snapshot,day_of_week_submitted,day_of_week_at_snapshot,is_weekend_submitted,resource_at_submitted,total_cycle_hours,late
CASE-0001,4.1572,4.1572,5,11,0,2,2,1,0,4.1572,4.1572,4.1572,4.1572,1,4.1572,15,4,4,0,2,29.1717,0
CASE-0002,3.8692,3.8692,5,14,0,2,2,1,0,3.8692,3.8692,3.8692,3.8692,1,3.8692,18,0,0,0,5,32.6878,0
CASE-0003,4.9525,4.9525,5,12,0,2,2,1,0,4.9525,4.9525,4.9525,4.9525,1,4.9525,17,5,5,1,1,34.6453,0
CASE-0004,2.2697,2.2697,4,10,0,2,2,1,0,2.2697,2.2697,2.2697,2.2697,0,2.2697,12,0,0,0,1,37.2392,0
CASE-0005,1.9897,1.9897,3,9,0,2,2,1,0,1.9897,1.9897,1.9897,1.9897,0,1.9897,11,6,6,1,5,37.7347,0
CASE-0006,3.7711,3.7711,5,16,0,2,2,1,0,3.7711,3.7711,3.7711,3.7711,1,3.7711,20,1,1,0,0,46.1078,1
CASE-0007,1.3961,1.3961,5,14,0,2,2,1,0,1.3961,1.3961,1.3961,1.3961,0,1.3961,15,2,2,0,3,30.0114,0
CASE-0008,2.0111,2.0111,1,16,0,2,2,1,0,2.0111,2.0111,2.0111,2.0111,0,2.0111,18,2,2,0,1,38.1894,0
CASE-0009,4.9481,4.9481,2,8,0,2,2,1,0,4.9481,4.9481,4.9481,4.9481,1,4.9481,13,1,1,0,2,34.675,0
CASE-0010,4.13,4.13,5,9,0,2,2,1,0,4.13,4.13,4.13,4.13,1,4.13,13,1,1,0,4,36.4292,0
CASE-0011,4.3875,4.3875,1,11,0,2,2,1,0,4.3875,4.3875,4.3875,4.3875,1,4.3875,16,6,6,1,4,42.6794,0
CASE-0012,1.2558,1.2558,4,9,0,2,2,1,0,1.2558,1.2558,1.2558,1.2558,0,1.2558,10,0,0,0,1,34.0297,0
CASE-0013,4.4717,4.4717,4,11,0,2,2,1,0,4.4717,4.4717,4.4717,4.4717,1,4.4717,15,1,1,0,0,51.015,1
CASE-0014,1.6042,1.6042,2,14,0,2,2,1,0,1.6042,1.6042,1.6042,1.6042,0,1.6042,15,4,4,0,0,31.0575,0
CASE-0015,3.0111,3.0111,1,11,0,2,2,1,0,3.0111,3.0111,3.0111,3.0111,1,3.0111,14,0,0,0,4,31.9211,0
CASE-0016,4.3772,4.3772,1,8,0,2,2,1,0,4.3772,4.3772,4.3772,4.3772,1,4.3772,13,3,3,0,4,34.1178,0
CASE-0017,5.265,5.265,5,14,0,2,2,1,0,5.265,5.265,5.265,5.265,1,5.265,19,2,2,0,5,47.7675,1
CASE-0018,2.1297,2.1297,4,15,0,2,2,1,0,2.1297,2.1297,2.1297,2.1297,0,2.1297,17,4,4,0,4,27.5453,0
CASE-0019,2.3014,2.3014,0,9,0,2,2,1,0,2.3014,2.3014,2.3014,2.3014,0,2.3014,12,5,5,1,4,38.5069,0
CASE-0020,3.9814,3.9814,2,12,0,2,2,1,0,3.9814,3.9814,3.9814,3.9814,1,3.9814,16,1,1,0,5,34.6136,0
CASE-0021,5.0175,5.0175,4,15,0,2,2,1,0,5.0175,5.0175,5.0175,5.0175,1,5.0175,20,0,0,0,4,34.6136,0
CASE-0022,2.0642,2.0642,4,11,0,2,2,1,0,2.0642,2.0642,2.0642,2.0642,0,2.0642,13,0,0,0,2,39.9175,0
CASE-0023,2.5244,2.5244,0,9,0,2,2,1,0,2.5244,2.5244,2.5244,2.5244,0,2.5244,12,2,2,0,1,40.6736,0
CASE-0024,2.8275,2.8275,0,8,0,2,2,1,0,2.8275,2.8275,2.8275,2.8275,0,2.8275,10,1,1,0,5,45.7422,1
CASE-0025,4.6383,4.6383,4,10,0,2,2,1,0,4.6383,4.6383,4.6383,4.6383,1,4.6383,15,2,2,0,0,30.3664,0
CASE-0026,2.0481,2.0481,2,13,0,2,2,1,0,2.0481,2.0481,2.0481,2.0481,0,2.0481,15,0,0,0,5,43.3956,1
CASE-0027,5.3214,5.3214,1,11,0,2,2,1,0,5.3214,5.3214,5.3214,5.3214,1,5.3214,17,1,1,0,1,47.0625,1
CASE-0028,4.1994,4.1994,3,11,0,2,2,1,0,4.1994,4.1994,4.1994,4.1994,1,4.1994,15,4,4,0,1,44.4158,1
CASE-0029,2.2417,2.2417,1,12,0,2,2,1,0,2.2417,2.2417,2.2417,2.2417,0,2.2417,15,4,4,0,1,35.345,0
CASE-0030,5.2078,5.2078,2,16,0,2,2,1,0,5.2078,5.2078,5.2078,5.2078,1,5.2078,21,6,6,1,5,46.2569,1
CASE-0031,2.7992,2.7992,2,9,0,2,2,1,0,2.7992,2.7992,2.7992,2.7992,0,2.7992,12,1,1,0,3,34.6347,0
CASE-0032,1.49,1.49,4,8,0,2,2,1,0,1.49,1.49,1.49,1.49,0,1.49,10,1,1,0,3,39.7753,0
CASE-0033,3.8425,3.8425,0,9,0,2,2,1,0,3.8425,3.8425,3.8425,3.8425,1,3.8425,13,6,6,1,2,40.8414,0
CASE-0034,2.1172,2.1172,3,12,0,2,2,1,0,2.1172,2.1172,2.1172,2.1172,0,2.1172,14,5,5,1,1,39.7422,0
CASE-0035,2.2572,2.2572,4,8,0,2,2,1,0,2.2572,2.2572,2.2572,2.2572,0,2.2572,10,3,3,0,2,37.6742,0
CASE-0036,1.7119,1.7119,2,15,0,2,2,1,0,1.7119,1.7119,1.7119,1.7119,0,1.7119,17,2,2,0,5,43.0597,0
CASE-0037,4.8444,4.8444,1,9,0,2,2,1,0,4.8444,4.8444,4.8444,4.8444,1,4.8444,14,1,1,0,3,42.0767,0
CASE-0038,4.2303,4.2303,1,8,0,2,2,1,0,4.2303,4.2303,4.2303,4.2303,1,4.2303,13,1,1,0,0,43.8206,1
CASE-0039,4.5556,4.5556,4,9,0,2,2,1,0,4.5556,4.5556,4.5556,4.5556,1,4.5556,14,1,1,0,1,49.8969,1
CASE-0040,2.8669,2.8669,5,16,0,2,2,1,0,2.8669,2.8669,2.8669,2.8669,0,2.8669,19,5,5,1,4,44.7706,1
CASE-0041,2.1903,2.1903,0,16,0,2,2,1,0,2.1903,2.1903,2.1903,2.1903,0,2.1903,18,1,1,0,5,33.2481,0
CASE-0042,2.5567,2.5567,3,9,0,2,2,1,0,2.5567,2.5567,2.5567,2.5567,0,2.5567,11,6,6,1,3,27.1933,0
CASE-0043,2.5214,2.5214,2,8,0,2,2,1,0,2.5214,2.5214,2.5214,2.5214,0,2.5214,11,2,2,0,4,32.2297,0
CASE-0044,2.3417,2.3417,0,11,0,2,2,1,0,2.3417,2.3417,2.3417,2.3417,0,2.3417,13,4,4,0,1,35.0447,0
CASE-0045,5.2061,5.2061,0,15,0,2,2,1,0,5.2061,5.2061,5.2061,5.2061,1,5.2061,21,5,5,1,1,44.7017,1
CASE-0046,2.8167,2.8167,3,11,0,2,2,1,0,2.8167,2.8167,2.8167,2.8167,0,2.8167,14,3,3,0,2,30.9242,0
CASE-0047,1.93,1.93,5,16,0,2,2,1,0,1.93,1.93,1.93,1.93,0,1.93,17,0,0,0,2,24.5328,0
CASE-0048,3.9778,3.9778,1,11,0,2,2,1,0,3.9778,3.9778,3.9778,3.9778,1,3.9778,15,4,4,0,3,48.635,1
CASE-0049,4.8319,4.8319,3,12,0,2,2,1,0,4.8319,4.8319,4.8319,4.8319,1,4.8319,17,0,0,0,5,47.5631,1
CASE-0050,4.7178,4.7178,0,9,0,2,2,1,0,4.7178,4.7178,4.7178,4.7178,1,4.7178,14,0,0,0,2,42.3011,0
CASE-0051,5.1764,5.1764,3,15,0,2,2,1,0,5.1764,5.1764,5.1764,5.1764,1,5.1764,20,5,5,1,3,43.9744,1
CASE-0052,3.2928,3.2928,5,16,0,2,2,1,0,3.2928,3.2928,3.2928,3.2928,1,3.2928,20,1,1,0,3,52.5642,1
CASE-0053,1.8272,1.8272,2,8,0,2,2,1,0,1.8272,1.8272,1.8272,1.8272,0,1.8272,10,3,3,0,2,44.1814,1
CASE-0054,4.0956,4.0956,5,16,0,2,2,1,0,4.0956,4.0956,4.0956,4.0956,1,4.0956,20,1,1,0,1,35.8175,0
CASE-0055,3.5761,3.5761,4,11,0,2,2,1,0,3.5761,3.5761,3.5761,3.5761,1,3.5761,14,1,1,0,5,37.7961,0
CASE-0056,2.3053,2.3053,1,12,0,2,2,1,0,2.3053,2.3053,2.3053,2.3053,0,2.3053,14,0,0,0,2,34.1697,0
CASE-0057,2.4058,2.4058,4,11,0,2,2,1,0,2.4058,2.4058,2.4058,2.4058,0,2.4058,14,6,6,1,3,36.76,0
CASE-0058,1.5228,1.5228,0,8,0,2,2,1,0,1.5228,1.5228,1.5228,1.5228,0,1.5228,10,2,2,0,4,33.4936,0
CASE-0059,5.0142,5.0142,0,10,0,2,2,1,0,5.0142,5.0142,5.0142,5.0142,1,5.0142,15,3,3,0,2,43.2861,1
CASE-0060,4.8297,4.8297,1,10,0,2,2,1,0,4.8297,4.8297,4.8297,4.8297,1,4.8297,14,1,1,0,4,31.4406,0
CASE-0061,4.7839,4.7839,4,16,0,2,2,1,0,4.7839,4.7839,4.7839,4.7839,1,4.7839,21,0,0,0,3,48.5353,1
CASE-0062,2.0917,2.0917,1,11,0,2,2,1,0,2.0917,2.0917,2.0917,2.0917,0,2.0917,13,3,3,0,1,29.0153,0
CASE-0063,2.2925,2.2925,2,15,0,2,2,1,0,2.2925,2.2925,2.2925,2.2925,0,2.2925,17,1,1,0,0,40.8183,0
CASE-0064,3.5114,3.5114,1,11,0,2,2,1,0,3.5114,3.5114,3.5114,3.5114,1,3.5114,14,4,4,0,0,47.1997,1
CASE-0065,5.0372,5.0372,4,12,0,2,2,1,0,5.0372,5.0372,5.0372,5.0372,1,5.0372,17,0,0,0,3,36.3225,0
CASE-0066,2.2656,2.2656,4,12,0,2,2,1,0,2.2656,2.2656,2.2656,2.2656,0,2.2656,14,3,3,0,0,38.5936,0
CASE-0067,4.0892,4.0892,2,10,0,2,2,1,0,4.0892,4.0892,4.0892,4.0892,1,4.0892,14,3,3,0,4,31.8081,0
CASE-0068,2.3342,2.3342,1,13,0,2,2,1,0,2.3342,2.3342,2.3342,2.3342,0,2.3342,15,1,1,0,2,31.9497,0
CASE-0069,1.4856,1.4856,2,16,0,2,2,1,0,1.4856,1.4856,1.4856,1.4856,0,1.4856,17,5,5,1,3,29.0969,0
CASE-0070,1.4833,1.4833,2,16,0,2,2,1,0,1.4833,1.4833,1.4833,1.4833,0,1.4833,17,0,0,0,3,36.9708,0
CASE-0071,3.1189,3.1189,3,16,0,2,2,1,0,3.1189,3.1189,3.1189,3.1189,1,3.1189,19,1,1,0,2,30.4447,0
CASE-0072,2.7486,2.7486,0,16,0,2,2,1,0,2.7486,2.7486,2.7486,2.7486,0,2.7486,18,2,2,0,4,39.3386,0
CASE-0073,3.0175,3.0175,4,15,0,2,2,1,0,3.0175,3.0175,3.0175,3.0175,1,3.0175,18,0,0,0,1,38.2383,0
CASE-0074,2.2811,2.2811,4,16,0,2,2,1,0,2.2811,2.2811,2.2811,2.2811,0,2.2811,18,3,3,0,0,38.9242,0
CASE-0075,4.2514,4.2514,3,13,0,2,2,1,0,4.2514,4.2514,4.2514,4.2514,1,4.2514,17,1,1,0,4,48.3981,1
CASE-0076,1.5578,1.5578,3,11,0,2,2,1,0,1.5578,1.5578,1.5578,1.5578,0,1.5578,13,5,5,1,3,38.9733,0
CASE-0077,3.3089,3.3089,2,15,0,2,2,1,0,3.3089,3.3089,3.3089,3.3089,1,3.3089,18,4,4,0,1,43.0353,0
CASE-0078,4.9131,4.9131,3,10,0,2,2,1,0,4.9131,4.9131,4.9131,4.9131,1,4.9131,15,0,0,0,5,44.37,1
CASE-0079,4.6372,4.6372,2,13,0,2,2,1,0,4.6372,4.6372,4.6372,4.6372,1,4.6372,18,2,2,0,5,42.1461,0
CASE-0080,4.8003,4.8003,5,11,0,2,2,1,0,4.8003,4.8003,4.8003,4.8003,1,4.8003,16,2,2,0,5,35.1553,0
CASE-0081,1.8489,1.8489,3,13,0,2,2,1,0,1.8489,1.8489,1.8489,1.8489,0,1.8489,15,2,2,0,3,35.2972,0
CASE-0082,2.4464,2.4464,4,14,0,2,2,1,0,2.4464,2.4464,2.4464,2.4464,0,2.4464,17,6,6,1,5,31.9611,0
CASE-0083,5.1006,5.1006,5,9,0,2,2,1,0,5.1006,5.1006,5.1006,5.1006,1,5.1006,14,5,5,1,2,47.685,1
CASE-0084,2.7086,2.7086,4,15,0,2,2,1,0,2.7086,2.7086,2.7086,2.7086,0,2.7086,17,5,5,1,1,39.5564,0
CASE-0085,4.2194,4.2194,4,15,0,2,2,1,0,4.2194,4.2194,4.2194,4.2194,1,4.2194,20,1,1,0,2,42.2686,0
CASE-0086,4.9469,4.9469,0,10,0,2,2,1,0,4.9469,4.9469,4.9469,4.9469,1,4.9469,15,3,3,0,0,35.0606,0
CASE-0087,2.7619,2.7619,1,12,0,2,2,1,0,2.7619,2.7619,2.7619,2.7619,0,2.7619,15,2,2,0,5,42.5656,0
CASE-0088,5.0194,5.0194,5,10,0,2,2,1,0,5.0194,5.0194,5.0194,5.0194,1,5.0194,15,5,5,1,3,45.7506,1
CASE-0089,4.0967,4.0967,4,11,0,2,2,1,0,4.0967,4.0967,4.0967,4.0967,1,4.0967,16,3,3,0,5,33.1678,0
CASE-0090,3.9892,3.9892,3,13,0,2,2,1,0,3.9892,3.9892,3.9892,3.9892,1,3.9892,17,0,0,0,5,42.4875,0
CASE-0091,1.9186,1.9186,5,16,0,2,2,1,0,1.9186,1.9186,1.9186,1.9186,0,1.9186,18,0,0,0,4,41.3044,0
